occupation_code,occupation_name,adverts,year
25-1051,"Atmospheric, earth, marine, and space sciences teachers, postsecondary",1.0,2024
25-1052,"Chemistry teachers, postsecondary",1.9,2024
25-1053,"Environmental science teachers, postsecondary",0.7,2024
25-1054,"Physics teachers, postsecondary",1.3,2024
25-1060,"Social sciences teachers, postsecondary",11.3,2024
25-1061,"Anthropology and archeology teachers, postsecondary",0.5,2024
25-1062,"Area, ethnic, and cultural studies teachers, postsecondary",1.1,2024
25-1063,"Economics teachers, postsecondary",1.2,2024
25-1064,"Geography teachers, postsecondary",0.3,2024
25-1065,"Political science teachers, postsecondary",1.6,2024
25-1066,"Psychology teachers, postsecondary",4.0,2024
25-1067,"Sociology teachers, postsecondary",1.1,2024
25-1069,"Social sciences teachers, postsecondary, all other",1.5,2024
25-1070,"Health teachers, postsecondary",36.0,2024
25-1071,"Health specialties teachers, postsecondary",27.4,2024
25-1072,"Nursing instructors and teachers, postsecondary",8.6,2024
25-1080,"Education and library science teachers, postsecondary",5.9,2024
25-1081,"Education teachers, postsecondary",5.6,2024
25-1082,"Library science teachers, postsecondary",0.4,2024
25-1110,"Law, criminal justice, and social work teachers, postsecondary",4.7,2024
25-1111,"Criminal justice and law enforcement teachers, postsecondary",1.2,2024
25-1112,"Law teachers, postsecondary",2.2,2024
25-1113,"Social work teachers, postsecondary",1.3,2024
25-1120,"Arts, communications, history, and humanities teachers, postsecondary",22.4,2024
25-1121,"Art, drama, and music teachers, postsecondary",9.0,2024
25-1122,"Communications teachers, postsecondary",2.7,2024
25-1123,"English language and literature teachers, postsecondary",5.1,2024
25-1124,"Foreign language and literature teachers, postsecondary",1.9,2024
25-1125,"History teachers, postsecondary",1.7,2024
25-1126,"Philosophy and religion teachers, postsecondary",2.0,2024
25-1190,Miscellaneous postsecondary teachers,23.7,2024
25-1192,"Family and consumer sciences teachers, postsecondary",0.2,2024
25-1193,"Recreation and fitness studies teachers, postsecondary",1.1,2024
25-1194,"Career/technical education teachers, postsecondary",8.8,2024
25-1199,"Postsecondary teachers, all other",13.5,2024
25-2000,"Preschool, elementary, middle, secondary, and special education teachers",320.9,2024
25-2010,Preschool and kindergarten teachers,78.2,2024
25-2011,"Preschool teachers, except special education",65.5,2024
25-2012,"Kindergarten teachers, except special education",12.8,2024
25-2020,Elementary and middle school teachers,132.4,2024
25-2021,"Elementary school teachers, except special education",91.0,2024
25-2022,"Middle school teachers, except special and career/technical education",40.5,2024
25-2023,"Career/technical education teachers, middle school",0.9,2024
25-2030,Secondary school teachers,72.4,2024
25-2031,"Secondary school teachers, except special and career/technical education",66.2,2024
25-2032,"Career/technical education teachers, secondary school",6.2,2024
25-2050,Special education teachers,37.8,2024
25-2051,"Special education teachers, preschool",2.1,2024
25-2052,"Special education teachers, kindergarten and elementary school",15.4,2024
25-2057,"Special education teachers, middle school",6.3,2024
25-2058,"Special education teachers, secondary school",11.1,2024
25-2059,"Special education teachers, all other",2.9,2024
25-3000,Other teachers and instructors,171.4,2024
25-3011,"Adult basic education, adult secondary education, and english as a second language instructors",3.9,2024
25-3021,Self-enrichment teachers,51.4,2024
25-3031,"Substitute teachers, short-term",61.1,2024
25-3041,Tutors,37.1,2024
25-3099,"Teachers and instructors, all other",18.0,2024
25-4000,"Librarians, curators, and archivists",31.2,2024
25-4010,"Archivists, curators, and museum technicians",4.8,2024
25-4011,Archivists,1.1,2024
25-4012,Curators,1.8,2024
25-4013,Museum technicians and conservators,1.9,2024
25-4022,Librarians and media collections specialists,13.5,2024
25-4031,Library technicians,13.0,2024
25-9000,Other educational instruction and library occupations,230.4,2024
25-9021,Farm and home management educators,1.1,2024
25-9031,Instructional coordinators,21.9,2024
25-9040,Teaching assistants,195.0,2024
25-9044,"Teaching assistants, postsecondary",24.6,2024
25-9045,"Teaching assistants, except postsecondary",170.4,2024
25-9099,"Educational instruction and library workers, all other",12.5,2024
27-0000,"Arts, design, entertainment, sports, and media occupations",289.4,2024
27-1000,Art and design workers,84.9,2024
27-1010,Artists and related workers,21.7,2024
27-1011,Art directors,12.3,2024
27-1012,Craft artists,1.0,2024
27-1013,"Fine artists, including painters, sculptors, and illustrators",2.2,2024
27-1014,Special effects artists and animators,5.0,2024
27-1019,"Artists and related workers, all other",1.2,2024
27-1020,Designers,63.2,2024
27-1021,Commercial and industrial designers,2.5,2024
27-1022,Fashion designers,2.3,2024
27-1023,Floral designers,5.1,2024
27-1024,Graphic designers,20.0,2024
27-1025,Interior designers,7.8,2024
27-1026,Merchandise displayers and window trimmers,20.8,2024
27-1027,Set and exhibit designers,2.5,2024
27-1029,"Designers, all other",2.2,2024
27-2000,"Entertainers and performers, sports and related workers",99.7,2024
27-2010,"Actors, producers, and directors",19.1,2024
27-2011,Actors,6.3,2024
27-2012,Producers and directors,12.8,2024
27-2020,"Athletes, coaches, umpires, and related workers",48.5,2024
27-2021,Athletes and sports competitors,2.1,2024
27-2022,Coaches and scouts,41.8,2024
27-2023,"Umpires, referees, and other sports officials",4.6,2024
27-2030,Dancers and choreographers,2.5,2024
27-2031,Dancers,1.8,2024
27-2032,Choreographers,0.7,2024
27-2040,"Musicians, singers, and related workers",23.7,2024
27-2041,Music directors and composers,4.3,2024
27-2042,Musicians and singers,19.4,2024
27-2090,"Miscellaneous entertainers and performers, sports and related workers",5.8,2024
27-2091,"Disc jockeys, except radio",1.5,2024
27-2099,"Entertainers and performers, sports and related workers, all other",4.4,2024
27-3000,Media and communication workers,73.4,2024
27-3011,Broadcast announcers and radio disc jockeys,2.3,2024
27-3023,"News analysts, reporters, and journalists",4.1,2024
27-3031,Public relations specialists,27.6,2024
27-3040,Writers and editors,27.7,2024
27-3041,Editors,9.8,2024
27-3042,Technical writers,4.5,2024
27-3043,Writers and authors,13.4,2024
27-3090,Miscellaneous media and communication workers,11.6,2024
27-3091,Interpreters and translators,6.9,2024
27-3092,Court reporters and simultaneous captioners,1.7,2024
27-3099,"Media and communication workers, all other",3.0,2024
27-4000,Media and communication equipment workers,31.4,2024
27-4010,"Broadcast, sound, and lighting technicians",11.1,2024
27-4011,Audio and video technicians,7.3,2024
27-4012,Broadcast technicians,1.8,2024
27-4014,Sound engineering technicians,1.2,2024
27-4015,Lighting technicians,0.8,2024
27-4021,Photographers,12.7,2024
27-4030,"Television, video, and film camera operators and editors",6.4,2024
27-4031,"Camera operators, television, video, and film",2.9,2024
27-4032,Film and video editors,3.6,2024
27-4099,"Media and communication equipment workers, all other",1.1,2024
29-0000,Healthcare practitioners and technical occupations,634.9,2024
29-1000,Healthcare diagnosing or treating practitioners,363.3,2024
29-1011,Chiropractors,2.8,2024
29-1020,Dentists,4.5,2024
29-1021,"Dentists, general",3.9,2024
29-1022,Oral and maxillofacial surgeons,0.2,2024
29-1023,Orthodontists,0.2,2024
29-1024,Prosthodontists,0.0,2024
29-1029,"Dentists, all other specialists",0.2,2024
29-1031,Dietitians and nutritionists,6.2,2024
29-1041,Optometrists,2.4,2024
29-1051,Pharmacists,14.2,2024
29-1071,Physician assistants,12.0,2024
29-1081,Podiatrists,0.3,2024
29-1120,Therapists,53.5,2024
29-1122,Occupational therapists,10.2,2024
29-1123,Physical therapists,13.2,2024
29-1124,Radiation therapists,0.9,2024
29-1125,Recreational therapists,1.3,2024
29-1126,Respiratory therapists,8.8,2024
29-1127,Speech-language pathologists,13.3,2024
29-1128,Exercise physiologists,1.7,2024
29-1129,"Therapists, all other",4.1,2024
29-1131,Veterinarians,3.0,2024
29-1141,Registered nurses,189.1,2024
29-1151,Nurse anesthetists,2.7,2024
29-1161,Nurse midwives,0.5,2024
29-1171,Nurse practitioners,29.5,2024
29-1181,Audiologists,0.7,2024
29-1210,Physicians,22.3,2024
29-1211,Anesthesiologists,1.3,2024
29-1212,Cardiologists,0.6,2024
29-1213,Dermatologists,0.4,2024
29-1214,Emergency medicine physicians,1.0,2024
29-1215,Family medicine physicians,3.3,2024
29-1216,General internal medicine physicians,2.1,2024
29-1217,Neurologists,0.3,2024
29-1218,Obstetricians and gynecologists,0.6,2024
29-1221,"Pediatricians, general",1.2,2024
29-1222,"Physicians, pathologists",0.4,2024
29-1223,Psychiatrists,0.9,2024
29-1224,Radiologists,0.8,2024
29-1229,"Physicians, all other",9.6,2024
29-1240,Surgeons,1.3,2024
29-1241,"Ophthalmologists, except pediatric",0.3,2024
29-1242,"Orthopedic surgeons, except pediatric",0.4,2024
29-1243,Pediatric surgeons,0.0,2024
29-1249,"Surgeons, all other",0.6,2024
29-1290,Miscellaneous healthcare diagnosing or treating practitioners,18.5,2024
29-1291,Acupuncturists,0.9,2024
29-1292,Dental hygienists,15.3,2024
29-1299,"Healthcare diagnosing or treating practitioners, all other",2.4,2024
29-2000,Health technologists and technicians,261.4,2024
29-2010,Clinical laboratory technologists and technicians,22.6,2024
29-2030,Diagnostic related technologists and technicians,26.1,2024
29-2031,Cardiovascular technologists and technicians,3.8,2024
29-2032,Diagnostic medical sonographers,5.8,2024
29-2033,Nuclear medicine technologists,0.9,2024
29-2034,Radiologic technologists and technicians,12.9,2024
29-2035,Magnetic resonance imaging technologists,2.6,2024
29-2036,Medical dosimetrists,0.2,2024
29-2040,Emergency medical technicians and paramedics,19.0,2024
29-2042,Emergency medical technicians,14.1,2024
29-2043,Paramedics,4.9,2024
29-2050,Health practitioner support technologists and technicians,102.8,2024
29-2051,Dietetic technicians,4.0,2024
29-2052,Pharmacy technicians,49.0,2024
29-2053,Psychiatric technicians,15.9,2024
29-2055,Surgical technologists,7.0,2024
29-2056,Veterinary technologists and technicians,14.3,2024
29-2057,Ophthalmic medical technicians,12.5,2024
29-2061,Licensed practical and licensed vocational nurses,54.4,2024
29-2072,Medical records specialists,14.2,2024
29-2081,"Opticians, dispensing",6.8,2024
29-2090,Miscellaneous health technologists and technicians,15.4,2024
29-2091,Orthotists and prosthetists,0.9,2024
29-2092,Hearing aid specialists,1.0,2024
29-2099,"Health technologists and technicians, all other",13.6,2024
29-9000,Other healthcare practitioners and technical occupations,10.2,2024
29-9021,Health information technologists and medical registrars,3.2,2024
29-9090,Miscellaneous health practitioners and technical workers,7.0,2024
29-9091,Athletic trainers,2.4,2024
29-9092,Genetic counselors,0.3,2024
29-9093,Surgical assistants,1.6,2024
29-9099,"Healthcare practitioners and technical workers, all other",2.6,2024
31-0000,Healthcare support occupations,1286.7,2024
31-1100,"Home health and personal care aides; and nursing assistants, orderlies, and psychiatric aides",983.0,2024
31-1120,Home health and personal care aides,765.8,2024
31-1130,"Nursing assistants, orderlies, and psychiatric aides",217.1,2024
31-1131,Nursing assistants,204.1,2024
31-1132,Orderlies,7.8,2024
31-1133,Psychiatric aides,5.3,2024
31-2000,Occupational therapy and physical therapist assistants and aides,34.3,2024
31-2010,Occupational therapy assistants and aides,7.9,2024
31-2011,Occupational therapy assistants,7.2,2024
31-2012,Occupational therapy aides,0.6,2024
31-2020,Physical therapist assistants and aides,26.4,2024
31-2021,Physical therapist assistants,19.8,2024
31-2022,Physical therapist aides,6.6,2024
31-9000,Other healthcare support occupations,269.4,2024
31-9011,Massage therapists,24.7,2024
31-9090,Miscellaneous healthcare support occupations,244.7,2024
31-9091,Dental assistants,52.9,2024
31-9092,Medical assistants,112.3,2024
31-9093,Medical equipment preparers,10.9,2024
31-9094,Medical transcriptionists,7.4,2024
31-9095,Pharmacy aides,6.1,2024
31-9096,Veterinary assistants and laboratory animal caretakers,22.2,2024
31-9097,Phlebotomists,18.4,2024
31-9099,"Healthcare support workers, all other",14.4,2024
33-0000,Protective service occupations,423.6,2024
33-1000,Supervisors of protective service workers,30.8,2024
33-1010,First-line supervisors of law enforcement workers,15.2,2024
33-1011,First-line supervisors of correctional officers,4.3,2024
33-1012,First-line supervisors of police and detectives,10.9,2024
33-1021,First-line supervisors of firefighting and prevention workers,6.5,2024
33-1090,"Miscellaneous first-line supervisors, protective service workers",9.1,2024
33-1091,First-line supervisors of security workers,7.0,2024
33-1099,"First-line supervisors of protective service workers, all other",2.1,2024
33-2000,Firefighting and prevention workers,28.9,2024
33-2011,Firefighters,27.1,2024
33-2020,Fire inspectors,1.8,2024
33-2021,Fire inspectors and investigators,1.5,2024
33-2022,Forest fire inspectors and prevention specialists,0.3,2024
33-3000,Law enforcement workers,94.8,2024
33-3010,"Bailiffs, correctional officers, and jailers",31.9,2024
33-3011,Bailiffs,1.8,2024
33-3012,Correctional officers and jailers,30.1,2024
33-3021,Detectives and criminal investigators,7.8,2024
33-3031,Fish and game wardens,0.5,2024
33-3041,Parking enforcement workers,0.7,2024
33-3050,Police officers,53.9,2024
33-3051,Police and sheriff's patrol officers,53.7,2024
33-3052,Transit and railroad police,0.2,2024
33-9000,Other protective service workers,269.0,2024
33-9011,Animal control workers,1.3,2024
33-9021,Private detectives and investigators,3.9,2024
33-9030,Security guards and gambling surveillance officers,162.3,2024
33-9031,Gambling surveillance officers and gambling investigators,1.3,2024
33-9032,Security guards,161.0,2024
33-9090,Miscellaneous protective service workers,101.4,2024
33-9091,Crossing guards and flaggers,18.0,2024
33-9092,"Lifeguards, ski patrol, and other recreational protective service workers",42.7,2024
33-9093,Transportation security screeners,4.7,2024
33-9094,School bus monitors,12.6,2024
33-9099,"Protective service workers, all other",23.3,2024
35-0000,Food preparation and serving related occupations,2625.8,2024
35-1000,Supervisors of food preparation and serving workers,208.3,2024
35-1011,Chefs and head cooks,24.4,2024
35-1012,First-line supervisors of food preparation and serving workers,183.9,2024
35-2000,Cooks and food preparation workers,580.2,2024
35-2010,Cooks,432.2,2024
35-2011,"Cooks, fast food",82.1,2024
35-2012,"Cooks, institution and cafeteria",69.7,2024
35-2013,"Cooks, private household",5.3,2024
35-2014,"Cooks, restaurant",250.7,2024
35-2015,"Cooks, short order",20.6,2024
35-2019,"Cooks, all other",3.7,2024
35-2021,Food preparation workers,148.0,2024
35-3000,Food and beverage serving workers,1538.6,2024
35-3011,Bartenders,129.6,2024
35-3023,Fast food and counter workers,904.3,2024
35-3031,Waiters and waitresses,456.7,2024
35-3041,"Food servers, nonrestaurant",48.0,2024
35-9000,Other food preparation and serving related workers,298.7,2024
35-9011,Dining room and cafeteria attendants and bartender helpers,99.6,2024
35-9021,Dishwashers,76.8,2024
35-9031,"Hosts and hostesses, restaurant, lounge, and coffee shop",107.7,2024
35-9099,"Food preparation and serving related workers, all other",14.6,2024
37-0000,Building and grounds cleaning and maintenance occupations,788.7,2024
37-1000,Supervisors of building and grounds cleaning and maintenance workers,56.3,2024
37-1011,First-line supervisors of housekeeping and janitorial workers,33.0,2024
37-1012,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",23.2,2024
37-2000,Building cleaning and pest control workers,560.8,2024
37-2010,Building cleaning workers,547.4,2024
37-2011,"Janitors and cleaners, except maids and housekeeping cleaners",351.3,2024
37-2012,Maids and housekeeping cleaners,193.5,2024
37-2019,"Building cleaning workers, all other",2.6,2024
37-2021,Pest control workers,13.4,2024
