occupation_code,occupation_title,ai_exposure,occ_clean
39-2021,Nonfarm Animal Caretakers,-0.8890408,nonfarm animal caretakers
39-3011,Gaming Dealers,0.0605832,gaming dealers
39-3012,Gaming and Sports Book Writers and Runners,0.4652752,gaming sports book writers runners
39-3021,Motion Picture Projectionists,-0.3786598,motion picture projectionists
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",-0.2420959,ushers lobby attendants ticket takers
39-3091,Amusement and Recreation Attendants,-0.5246153,amusement recreation attendants
39-3092,Costume Attendants,-0.4533608,costume attendants
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",-0.3454376,locker room coatroom dressing room attendants
39-4011,Embalmers,-0.7311451,embalmers
39-4021,Funeral Attendants,-0.5445412,funeral attendants
39-4031,"Morticians, Undertakers, and Funeral Directors",-0.1903759,morticians undertakers funeral directors
39-5011,Barbers,-0.7294621,barbers
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",-0.6824517,hairdressers hairstylists cosmetologists
39-5091,"Makeup Artists, Theatrical and Performance",-0.4596138,makeup artists theatrical performance
39-5092,Manicurists and Pedicurists,0.0335124,manicurists pedicurists
39-5093,Shampooers,-0.905371,shampooers
39-5094,Skin Care Specialists,-0.2628396,skin care specialists
39-6011,Baggage Porters and Bellhops,-1.272015,baggage porters bellhops
39-6012,Concierges,0.855832,concierges
39-7011,Tour Guides and Escorts,0.357096,tour guides escorts
39-7012,Travel Guides,0.6083829,travel guides
39-9011,Child Care Workers,-0.3834794,child care workers
39-9021,Personal and Home Care Aides,-0.5737774,personal home care aides
39-9031,Fitness Trainers and Aerobics Instructors,-2.111948,fitness trainers aerobics instructors
39-9032,Recreation Workers,-0.2441154,recreation workers
39-9041,Residential Advisors,0.4746119,residential advisors
41-1011,First-Line Supervisors/Managers of Retail Sales Workers,0.0191826,first line supervisors/managers of retail sales workers
41-1012,First-Line Supervisors/Managers of Non-Retail Sales Workers,1.316195,first line supervisors/managers of non retail sales workers
41-2011,Cashiers,-0.2480887,cashiers
41-2012,Gaming Change Persons and Booth Cashiers,-0.0500926,gaming change persons booth cashiers
41-2021,Counter and Rental Clerks,0.0784367,counter rental clerks
41-2022,Parts Salespersons,-0.1184909,parts salespersons
41-2031,Retail Salespersons,0.0873069,retail salespersons
41-3011,Advertising Sales Agents,1.162588,advertising sales agents
41-3021,Insurance Sales Agents,1.341258,insurance sales agents
41-3031,"Securities, Commodities, and Financial Services Sales Agents",1.256298,securities commodities financial services sales agents
41-3041,Travel Agents,1.133598,travel agents
41-3099,"Sales Representatives, Services, All Other",1.302674,sales representatives services all other
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.8911985,sales representatives wholesale manufacturing technical scientific products
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.8224681,sales representatives wholesale manufacturing except technical scientific products
41-9011,Demonstrators and Product Promoters,0.1235652,demonstrators product promoters
41-9012,Models,-1.122021,models
41-9021,Real Estate Brokers,1.149681,real estate brokers
41-9022,Real Estate Sales Agents,0.8649445,real estate sales agents
41-9031,Sales Engineers,1.145416,sales engineers
41-9041,Telemarketers,1.118129,telemarketers
41-9091,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",1.107101,door to door sales workers news street vendors related workers
43-1011,First-Line Supervisors/Managers of Office and Administrative Support Workers,1.038688,first line supervisors/managers of office administrative support workers
43-2011,"Switchboard Operators, Including Answering Service",0.9832644,switchboard operators including answering service
43-2021,Telephone Operators,1.019712,telephone operators
43-3011,Bill and Account Collectors,1.271991,bill account collectors
43-3021,Billing and Posting Clerks and Machine Operators,1.333455,billing posting clerks machine operators
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1.039749,bookkeeping accounting auditing clerks
43-3041,Gaming Cage Workers,0.4026518,gaming cage workers
43-3051,Payroll and Timekeeping Clerks,1.257632,payroll timekeeping clerks
43-3061,Procurement Clerks,1.487838,procurement clerks
43-3071,Tellers,0.4727723,tellers
43-4011,Brokerage Clerks,1.144877,brokerage clerks
43-4021,Correspondence Clerks,1.149758,correspondence clerks
43-4031,"Court, Municipal, and License Clerks",1.166267,court municipal license clerks
43-4041,"Credit Authorizers, Checkers, and Clerks",1.440296,credit authorizers checkers clerks
43-4051,Customer Service Representatives,0.9562519,customer service representatives
43-4061,"Eligibility Interviewers, Government Programs",1.226286,eligibility interviewers government programs
43-4071,File Clerks,0.2839743,file clerks
43-4081,"Hotel, Motel, and Resort Desk Clerks",0.6063127,hotel motel resort desk clerks
43-4111,"Interviewers, Except Eligibility and Loan",1.297031,interviewers except eligibility loan
43-4121,"Library Assistants, Clerical",0.2038919,library assistants clerical
43-4131,Loan Interviewers and Clerks,1.364395,loan interviewers clerks
43-4141,New Accounts Clerks,1.174998,new accounts clerks
43-4151,Order Clerks,0.8388861,order clerks
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",1.353098,human resources assistants except payroll timekeeping
43-4171,Receptionists and Information Clerks,1.013186,receptionists information clerks
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,0.227312,reservation transportation ticket agents travel clerks
43-5011,Cargo and Freight Agents,1.405415,cargo freight agents
43-5021,Couriers and Messengers,-0.9591126,couriers messengers
43-5031,"Police, Fire, and Ambulance Dispatchers",0.9074452,police fire ambulance dispatchers
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",1.234523,dispatchers except police fire ambulance
43-5041,"Meter Readers, Utilities",-0.9723772,meter readers utilities
43-5051,Postal Service Clerks,-0.5186997,postal service clerks
43-5052,Postal Service Mail Carriers,-1.064715,postal service mail carriers
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",-1.185001,postal service mail sorters processors processing machine operators
43-5061,"Production, Planning, and Expediting Clerks",0.6999103,production planning expediting clerks
43-5071,"Shipping, Receiving, and Traffic Clerks",-0.7463213,shipping receiving traffic clerks
43-5081,Stock Clerks and Order Fillers,-0.7892948,stock clerks order fillers
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",-0.1860789,weighers measurers checkers samplers recordkeeping
43-6011,Executive Secretaries and Administrative Assistants,1.079643,executive secretaries administrative assistants
43-6012,Legal Secretaries,1.014541,legal secretaries
43-6013,Medical Secretaries,1.217982,medical secretaries
43-6014,"Secretaries, Except Legal, Medical, and Executive",1.099056,secretaries except legal medical executive
43-9011,Computer Operators,0.7040519,computer operators
43-9021,Data Entry Keyers,0.3108081,data entry keyers
43-9022,Word Processors and Typists,0.6219606,word processors typists
43-9031,Desktop Publishers,0.3437743,desktop publishers
43-9041,Insurance Claims and Policy Processing Clerks,1.240201,insurance claims policy processing clerks
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",-0.8184676,mail clerks mail machine operators except postal service
43-9061,"Office Clerks, General",0.9888986,office clerks general
43-9071,"Office Machine Operators, Except Computer",-0.5171404,office machine operators except computer
43-9081,Proofreaders and Copy Markers,1.288375,proofreaders copy markers
43-9111,Statistical Assistants,1.389965,statistical assistants
