occupation_code,occupation_name,weekly_pay,year,occ_clean
29-1120,Therapists,90400.0,2023,therapists
29-1122,Occupational Therapists,96370.0,2023,occupational therapists
29-1123,Physical Therapists,99710.0,2023,physical therapists
29-1124,Radiation Therapists,98300.0,2023,radiation therapists
29-1125,Recreational Therapists,57120.0,2023,recreational therapists
29-1126,Respiratory Therapists,77960.0,2023,respiratory therapists
29-1127,Speech-Language Pathologists,89290.0,2023,speech language pathologists
29-1128,Exercise Physiologists,54860.0,2023,exercise physiologists
29-1129,"Therapists, All Other",63650.0,2023,therapists all other
29-1130,Veterinarians,119100.0,2023,veterinarians
29-1131,Veterinarians,119100.0,2023,veterinarians
29-1140,Registered Nurses,86070.0,2023,registered nurses
29-1141,Registered Nurses,86070.0,2023,registered nurses
29-1150,Nurse Anesthetists,212650.0,2023,nurse anesthetists
29-1151,Nurse Anesthetists,212650.0,2023,nurse anesthetists
29-1160,Nurse Midwives,129650.0,2023,nurse midwives
29-1161,Nurse Midwives,129650.0,2023,nurse midwives
29-1170,Nurse Practitioners,126260.0,2023,nurse practitioners
29-1171,Nurse Practitioners,126260.0,2023,nurse practitioners
29-1180,Audiologists,87740.0,2023,audiologists
29-1181,Audiologists,87740.0,2023,audiologists
29-1215,Family Medicine Physicians,224640.0,2023,family medicine physicians
29-1216,General Internal Medicine Physicians,223310.0,2023,general internal medicine physicians
29-1221,"Pediatricians, General",198690.0,2023,pediatricians general
29-1229,"Physicians, All Other",236000.0,2023,physicians all other
29-1290,Miscellaneous Healthcare Diagnosing or Treating Practitioners,89260.0,2023,miscellaneous healthcare diagnosing or treating practitioners
29-1291,Acupuncturists,78220.0,2023,acupuncturists
29-1292,Dental Hygienists,87530.0,2023,dental hygienists
29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",107990.0,2023,healthcare diagnosing or treating practitioners all other
29-2000,Health Technologists and Technicians,51250.0,2023,health technologists technicians
29-2010,Clinical Laboratory Technologists and Technicians,60780.0,2023,clinical laboratory technologists technicians
29-2030,Diagnostic Related Technologists and Technicians,78330.0,2023,diagnostic related technologists technicians
29-2031,Cardiovascular Technologists and Technicians,66170.0,2023,cardiovascular technologists technicians
29-2032,Diagnostic Medical Sonographers,84470.0,2023,diagnostic medical sonographers
29-2033,Nuclear Medicine Technologists,92500.0,2023,nuclear medicine technologists
29-2034,Radiologic Technologists and Technicians,73410.0,2023,radiologic technologists technicians
29-2035,Magnetic Resonance Imaging Technologists,83740.0,2023,magnetic resonance imaging technologists
29-2036,Medical Dosimetrists,132880.0,2023,medical dosimetrists
29-2040,Emergency Medical Technicians and Paramedics,44780.0,2023,emergency medical technicians paramedics
29-2042,Emergency Medical Technicians,38930.0,2023,emergency medical technicians
29-2043,Paramedics,53180.0,2023,paramedics
29-2050,Health Practitioner Support Technologists and Technicians,43130.0,2023,health practitioner support technologists technicians
29-2051,Dietetic Technicians,36520.0,2023,dietetic technicians
29-2052,Pharmacy Technicians,40300.0,2023,pharmacy technicians
29-2053,Psychiatric Technicians,39700.0,2023,psychiatric technicians
29-2055,Surgical Technologists,60610.0,2023,surgical technologists
29-2056,Veterinary Technologists and Technicians,43740.0,2023,veterinary technologists technicians
29-2057,Ophthalmic Medical Technicians,41780.0,2023,ophthalmic medical technicians
29-2060,Licensed Practical and Licensed Vocational Nurses,59730.0,2023,licensed practical licensed vocational nurses
