occupation_code,occupation_name,employment,year,occ_clean
19-3034,School Psychologists,62790.0,2023,school psychologists
19-3039,"Psychologists, All Other",14480.0,2023,psychologists all other
19-3040,Sociologists,2890.0,2023,sociologists
19-3041,Sociologists,2890.0,2023,sociologists
19-3050,Urban and Regional Planners,42690.0,2023,urban regional planners
19-3051,Urban and Regional Planners,42690.0,2023,urban regional planners
19-3090,Miscellaneous Social Scientists and Related Workers,53010.0,2023,miscellaneous social scientists related workers
19-3091,Anthropologists and Archeologists,7720.0,2023,anthropologists archeologists
19-3092,Geographers,1460.0,2023,geographers
19-3093,Historians,3040.0,2023,historians
19-3094,Political Scientists,5580.0,2023,political scientists
19-3099,"Social Scientists and Related Workers, All Other",35210.0,2023,social scientists related workers all other
19-4000,"Life, Physical, and Social Science Technicians",360210.0,2023,life physical social science technicians
19-4010,Agricultural and Food Science Technicians,28340.0,2023,agricultural food science technicians
19-4012,Agricultural Technicians,13150.0,2023,agricultural technicians
19-4013,Food Science Technicians,15190.0,2023,food science technicians
19-4020,Biological Technicians,76990.0,2023,biological technicians
19-4021,Biological Technicians,76990.0,2023,biological technicians
19-4030,Chemical Technicians,55880.0,2023,chemical technicians
19-4031,Chemical Technicians,55880.0,2023,chemical technicians
19-4040,Environmental Science and Geoscience Technicians,44240.0,2023,environmental science geoscience technicians
19-4042,"Environmental Science and Protection Technicians, Including Health",32390.0,2023,environmental science protection technicians including health
19-4043,"Geological Technicians, Except Hydrologic Technicians",8860.0,2023,geological technicians except hydrologic technicians
19-4044,Hydrologic Technicians,3000.0,2023,hydrologic technicians
19-4050,Nuclear Technicians,5400.0,2023,nuclear technicians
19-4051,Nuclear Technicians,5400.0,2023,nuclear technicians
19-4060,Social Science Research Assistants,30890.0,2023,social science research assistants
19-4061,Social Science Research Assistants,30890.0,2023,social science research assistants
19-4070,Forest and Conservation Technicians,28740.0,2023,forest conservation technicians
19-4071,Forest and Conservation Technicians,28740.0,2023,forest conservation technicians
19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",89740.0,2023,miscellaneous life physical social science technicians
19-4092,Forensic Science Technicians,17520.0,2023,forensic science technicians
19-4099,"Life, Physical, and Social Science Technicians, All Other",72230.0,2023,life physical social science technicians all other
19-5000,Occupational Health and Safety Specialists and Technicians,149570.0,2023,occupational health safety specialists technicians
19-5010,Occupational Health and Safety Specialists and Technicians,149570.0,2023,occupational health safety specialists technicians
19-5011,Occupational Health and Safety Specialists,122300.0,2023,occupational health safety specialists
19-5012,Occupational Health and Safety Technicians,27270.0,2023,occupational health safety technicians
21-0000,Community and Social Service Occupations,2418130.0,2023,community social service occupations
21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",2326360.0,2023,counselors social workers other community social service specialists
21-1010,Counselors,909190.0,2023,counselors
21-1012,"Educational, Guidance, and Career Counselors and Advisors",327660.0,2023,educational guidance career counselors advisors
21-1013,Marriage and Family Therapists,63340.0,2023,marriage family therapists
21-1015,Rehabilitation Counselors,84750.0,2023,rehabilitation counselors
21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",397880.0,2023,substance abuse behavioral disorder mental health counselors
21-1019,"Counselors, All Other",35580.0,2023,counselors all other
21-1020,Social Workers,710320.0,2023,social workers
21-1021,"Child, Family, and School Social Workers",352160.0,2023,child family school social workers
21-1022,Healthcare Social Workers,185020.0,2023,healthcare social workers
21-1023,Mental Health and Substance Abuse Social Workers,114680.0,2023,mental health substance abuse social workers
21-1029,"Social Workers, All Other",58460.0,2023,social workers all other
21-1090,Miscellaneous Community and Social Service Specialists,706840.0,2023,miscellaneous community social service specialists
21-1091,Health Education Specialists,57800.0,2023,health education specialists
21-1092,Probation Officers and Correctional Treatment Specialists,85870.0,2023,probation officers correctional treatment specialists
21-1093,Social and Human Service Assistants,409310.0,2023,social human service assistants
21-1094,Community Health Workers,58550.0,2023,community health workers
21-1099,"Community and Social Service Specialists, All Other",95310.0,2023,community social service specialists all other
21-2000,Religious Workers,91770.0,2023,religious workers
21-2010,Clergy,56640.0,2023,clergy
21-2011,Clergy,56640.0,2023,clergy
21-2020,"Directors, Religious Activities and Education",23270.0,2023,directors religious activities education
21-2021,"Directors, Religious Activities and Education",23270.0,2023,directors religious activities education
21-2090,Miscellaneous Religious Workers,11870.0,2023,miscellaneous religious workers
21-2099,"Religious Workers, All Other",11870.0,2023,religious workers all other
23-0000,Legal Occupations,1240630.0,2023,legal occupations
23-1000,"Lawyers, Judges, and Related Workers",792220.0,2023,lawyers judges related workers
23-1010,Lawyers and Judicial Law Clerks,746020.0,2023,lawyers judicial law clerks
23-1011,Lawyers,731340.0,2023,lawyers
23-1012,Judicial Law Clerks,14680.0,2023,judicial law clerks
23-1020,"Judges, Magistrates, and Other Judicial Workers",46200.0,2023,judges magistrates other judicial workers
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",14670.0,2023,administrative law judges adjudicators hearing officers
23-1022,"Arbitrators, Mediators, and Conciliators",7060.0,2023,arbitrators mediators conciliators
23-1023,"Judges, Magistrate Judges, and Magistrates",24470.0,2023,judges magistrate judges magistrates
23-2000,Legal Support Workers,448410.0,2023,legal support workers
23-2010,Paralegals and Legal Assistants,354890.0,2023,paralegals legal assistants
23-2011,Paralegals and Legal Assistants,354890.0,2023,paralegals legal assistants
23-2090,Miscellaneous Legal Support Workers,93520.0,2023,miscellaneous legal support workers
23-2093,"Title Examiners, Abstractors, and Searchers",49760.0,2023,title examiners abstractors searchers
23-2099,"Legal Support Workers, All Other",43760.0,2023,legal support workers all other
25-0000,Educational Instruction and Library Occupations,8744560.0,2023,educational instruction library occupations
25-1000,Postsecondary Teachers,1394110.0,2023,postsecondary teachers
25-1010,"Business Teachers, Postsecondary",82980.0,2023,business teachers postsecondary
25-1011,"Business Teachers, Postsecondary",82980.0,2023,business teachers postsecondary
25-1020,"Math and Computer Science Teachers, Postsecondary",84380.0,2023,math computer science teachers postsecondary
