occupation_code,ai_exposure,occupation_name,employment_2023_x,employment_2023_y,weekly_pay,adverts,education_required,employment_growth,log_pay,log_employment,advert_intensity,skill,ai_skill_interaction,ai_exposure_z,pay_z,employment_z,advert_intensity_z,exposure_quantile,bls_outlook
11-3121,1.320417,Human Resources Managers,200600.0,200600.0,136350.0,17.9,Bachelor's degree,0.0,11.822980388273734,12.209068154509971,8.923230309072781e-05,4.0,5.281668,1.327469741929701,2.383193813365373,0.0485623553670355,-0.1017887673186821,High,Faster than average
11-3131,1.284423,Training and Development Managers,41540.0,41540.0,125040.0,3.8,Bachelor's degree,0.0,11.736388965095358,10.634412097430104,9.1478093403948e-05,4.0,5.137692,1.2917709422191537,2.0077775968204,-0.3340087980453259,-0.0980586607270857,High,
11-9013,-0.1443684,"Farmers, Ranchers, and Other Agricultural Managers",6150.0,6150.0,83770.0,85.5,High school diploma or equivalent,0.0,11.335830227147856,8.724207360800564,0.0139024390243902,1.0,-0.1443684,-0.1253024038038801,0.6378901293746845,-0.419128835259355,22.84101810957199,Lower-middle,
11-9021,1.029139,Construction Managers,329190.0,329190.0,104900.0,46.8,Bachelor's degree,0.0,11.560762794384388,12.704390370652954,0.0001421671375193,4.0,4.116556,1.038580622018357,1.339264546315028,0.3578470568463236,-0.0138675693043395,High,Faster than average
11-9031,0.838007,"Education and Childcare Administrators, Preschool and Daycare",64090.0,64090.0,54290.0,5.5,Bachelor's degree,0.0,10.902095326899495,11.068043624498271,8.581682009673896e-05,4.0,3.352028,0.8490161672126559,-0.3406483378000112,-0.2797715321742788,-0.1074616547447104,Upper-middle,
11-9032,1.048811,"Education Administrators, Kindergarten through Secondary",302580.0,302580.0,103460.0,20.8,Master's degree,0.0,11.546940343557504,12.620100984298826,6.874215083614251e-05,5.0,5.244055,1.0580912845706127,1.291466195136888,0.2938446779182277,-0.1358215314363836,High,
11-9033,1.461149,"Education Administrators, Postsecondary",167270.0,167270.0,102610.0,15.1,Master's degree,0.0,11.538690672856257,12.027364552306054,9.027321097626593e-05,5.0,7.305745,1.467047546032185,1.2632518906220138,-0.0316029693106584,-0.1000598893632317,High,
11-9039,0.3541265,"Education Administrators, All Other",50690.0,50690.0,88460.0,4.1,Bachelor's degree,0.0,11.390305751422318,10.833483931466397,8.088380351154073e-05,4.0,1.416506,0.3691041526174544,0.7935667036979316,-0.3120012156630607,-0.1156550633512859,Upper-middle,
11-9041,0.8370105,Architectural and Engineering Managers,207800.0,207800.0,165370.0,14.5,Bachelor's degree,0.0,12.015940666644244,12.244331357647264,6.97786333012512e-05,4.0,3.348042,0.8480278398827799,3.3464633628026075,0.0658797972416049,-0.1341000038064811,Upper-middle,
11-9051,-0.1213112,Food Service Managers,246070.0,246070.0,63060.0,42.0,High school diploma or equivalent,0.0,11.051841933099052,12.413371327282546,0.0001706831389442,1.0,-0.1213112,-0.1024343045460582,-0.049543101805368,0.1579268112054618,0.0334955902277889,Lower-middle,Faster than average
11-9071,0.8299207,Gambling Managers,4590.0,4590.0,82380.0,0.6,High school diploma or equivalent,0.0,11.319097967990071,8.431635303054591,0.0001307189542483,1.0,0.8299207,0.8409961859908022,0.5917514431680079,-0.4228809476655117,-0.0328822313721122,Upper-middle,Faster than average
11-9081,0.4021726,Lodging Managers,41980.0,41980.0,65360.0,5.4,High school diploma or equivalent,0.0,11.087665729533883,10.644948593374624,0.0001286326822296,1.0,0.4021726,0.4167562085371339,0.0268014868819386,-0.3329505099307689,-0.0363473888105108,Upper-middle,Faster than average
11-9111,1.260259,Medical and Health Services Managers,515100.0,515100.0,110680.0,62.1,Bachelor's degree,0.0,11.61439843390086,13.152116335553677,0.000120559114735,4.0,5.041036,1.2678051202431109,1.5311218170161724,0.8049978372492667,-0.0497570411507761,High,
11-9121,1.327906,Natural Sciences Managers,96520.0,96520.0,157740.0,8.5,Bachelor's degree,0.0,11.96870338695198,11.477505519738967,8.806464981351016e-05,4.0,5.311624,1.3348973218328042,3.0931984881573253,-0.201770887730906,-0.1037281608410468,High,Slower than average
11-9131,0.8233757,Postmasters and Mail Superintendents,13810.0,13810.0,88670.0,0.9,High school diploma or equivalent,0.0,11.392676892374054,9.533148246403336,6.517016654598118e-05,1.0,0.8233757,0.8345048639897595,0.8005372965780769,-0.4007050012650215,-0.1417543569844218,Upper-middle,
11-9141,1.215396,"Property, Real Estate, and Community Association Managers",284120.0,284120.0,62850.0,39.0,High school diploma or equivalent,0.0,11.048506214018394,12.557151963111746,0.0001372659439673,1.0,1.215396,1.223310058526872,-0.0565136946855134,0.2494446811120401,-0.022008121994183,High,
11-9151,1.156153,Social and Community Service Managers,173650.0,173650.0,77030.0,18.6,Bachelor's degree,0.0,11.251950235347012,12.06479705817222,0.0001071120069104,4.0,4.624612,1.1645529325822153,0.4141672912214467,-0.0162577916495817,-0.0720917823948695,High,
11-9161,1.030768,Emergency Management Directors,11910.0,11910.0,83960.0,1.0,Bachelor's degree,0.0,11.338095773934567,9.385133662349348,8.396305625524769e-05,4.0,4.123072,1.040196261978586,0.6441968562662447,-0.4052748817596995,-0.1105406317461272,High,
11-9199,0.9646872,"Managers, All Other",589750.0,589750.0,133560.0,106.7,Bachelor's degree,0.0,11.802306094057592,13.28745399726992,0.0001809241203899,4.0,3.8587488,0.9746574153954676,2.2905845079577274,0.984546036684906,0.0505051712961987,Upper-middle,
13-1011,1.068559,"Agents and Business Managers of Artists, Performers, and Athletes",12870.0,12870.0,84900.0,2.2,Bachelor's degree,0.0,11.34922937229944,9.462654300590172,0.0001709401709401,4.0,4.274236,1.0776773238183734,0.6753985577297525,-0.402965889509757,0.0339225030774739,High,
13-1031,1.274024,"Claims Adjusters, Examiners, and Investigators",293780.0,293780.0,75050.0,21.1,High school diploma or equivalent,0.0,11.225909837061607,12.590586466885403,7.182245217509701e-05,1.0,1.274024,1.2814572283171146,0.3484445583515045,0.2726789156270873,-0.1307053581850785,High,
13-1032,0.6634955,"Insurance Appraisers, Auto Damage",8670.0,8670.0,74520.0,0.5,Postsecondary nondegree award,0.0,11.218822824715524,9.067624069774588,5.767012687427912e-05,2.0,1.326991,0.6759359014548283,0.3308521096539947,-0.4130677306032558,-0.1542114182033457,Upper-middle,
13-1041,0.6981205,Compliance Officers,383620.0,383620.0,75670.0,33.3,Bachelor's degree,0.0,11.234137059688567,12.85740775827568,8.680465043532662e-05,4.0,2.792482,0.7102769288476637,0.369024403997648,0.4887621070175473,-0.10582093502317,Upper-middle,Faster than average
13-1051,1.367669,Cost Estimators,220970.0,220970.0,74740.0,16.9,Bachelor's degree,0.0,11.221770703039477,12.30578222467915,7.648097026745712e-05,4.0,5.470676,1.3743342105612175,0.3381546355284327,0.0975562846705047,-0.122967873104173,High,
13-1071,1.36005,Human Resources Specialists,895970.0,895970.0,67650.0,81.8,Bachelor's degree,0.0,11.122102633598931,13.70566220925367,9.129769969976672e-05,4.0,5.4402,1.366777696836856,0.1028141425749526,1.7210664604113823,-0.098358282531084,High,Little or no change
13-1074,-0.4354025,Farm Labor Contractors,460.0,460.0,45730.0,0.3,No formal educational credential,0.0,10.7305098166521,6.131226489483141,0.0006521739130434,0.0,-0.0,-0.4139496240305711,-0.624782980914509,-0.4328144247407856,0.8332193666142333,Lower-middle,
13-1075,1.334834,Labor Relations Specialists,62800.0,62800.0,89980.0,5.1,Bachelor's degree,0.0,11.407342702395164,11.04771035245629,8.121019108280254e-05,4.0,5.339336,1.3417685027072466,0.8440205188304125,-0.2828742405101392,-0.1151129555579572,High,Little or no change
13-1081,1.297303,Logisticians,228470.0,228470.0,79400.0,26.4,Bachelor's degree,0.0,11.282253647235228,12.339160189668528,0.0001155512758786,4.0,5.189212,1.3045453085099756,0.4928354108688019,0.1155952866231811,-0.0580747245149327,High,Faster than average
13-1111,1.432417,Management Analysts,838140.0,838140.0,99410.0,98.1,Bachelor's degree,0.0,11.50700799120619,13.63894042994965,0.0001170448851027,4.0,5.729668,1.4385511879368509,1.1570333324483697,1.5819737293549454,-0.0555939400983622,High,Slower than average
13-1121,0.3740207,"Meeting, Convention, and Event Planners",122130.0,122130.0,56920.0,15.5,Bachelor's degree,0.0,10.949402052203787,11.712841330165134,0.0001269139441578,4.0,1.4960828,0.3888351928241993,-0.2533499603010475,-0.1401737090631669,-0.0392020970942681,Upper-middle,Faster than average
13-1131,1.242567,Fundraisers,101730.0,101730.0,64160.0,10.2,Bachelor's degree,0.0,11.069135242540396,11.530077523787794,0.000100265408434,4.0,4.970268,1.2502582189684814,-0.0130304724331778,-0.1892397943744468,-0.0834635217582261,High,
13-1141,1.440985,"Compensation, Benefits, and Job Analysis Specialists",99850.0,99850.0,74530.0,8.5,Bachelor's degree,0.0,11.21895700787574,11.51142433884396,8.512769153730596e-05,4.0,5.76394,1.4470489185563975,0.3311840426482874,-0.1937615708639176,-0.1086062509106421,High,Little or no change
13-1151,1.198409,Training and Development Specialists,403480.0,403480.0,64340.0,43.9,Bachelor's degree,0.0,11.071936800793017,12.907882199168773,0.0001088034103301,4.0,4.793636,1.206462375282913,-0.0070556785359104,0.5365293841882345,-0.0692824751288964,High,
13-1161,1.426757,Market Research Analysts and Marketing Specialists,846370.0,846370.0,74680.0,87.2,Bachelor's degree,0.0,11.220967597655658,13.648711895223606,0.0001030282264257,4.0,5.707028,1.4329376077189897,0.3361630375626769,1.6017685274976825,-0.0788746669833288,High,
13-1199,1.047687,"Business Operations Specialists, All Other",1103440.0,1103440.0,79590.0,108.2,Bachelor's degree,0.0,11.284643735799897,13.913943130749402,9.805698542739073e-05,4.0,4.190748,1.0569765029160412,0.499142137760362,2.2200733584276198,-0.0871315637681282,High,
13-2011,1.481956,Accountants and Auditors,1435770.0,1435770.0,79880.0,124.2,Bachelor's degree,0.0,11.288280787529752,14.177211848631265,8.650410581081928e-05,4.0,5.927824,1.4876839000238882,0.5087681945948485,3.019393560952013,-0.1063201194209049,High,
13-2031,1.502988,Budget Analysts,47310.0,47310.0,84940.0,3.1,Bachelor's degree,0.0,11.349700403867262,10.764476968625194,6.552525893045868e-05,4.0,6.011952,1.5085434087062308,0.6767262897069232,-0.3201307925430668,-0.1411645724278815,High,Slower than average
13-2041,1.345268,Credit Analysts,73200.0,73200.0,79420.0,3.7,Bachelor's degree,0.0,11.282505504685242,11.200950699949402,5.0546448087431695e-05,4.0,5.381072,1.3521169295611624,0.4934992768573871,-0.2578601578024279,-0.1660433693177548,High,Faster than average
13-2051,1.380615,Financial and Investment Analysts,325220.0,325220.0,99010.0,25.1,Bachelor's degree,0.0,11.50297613411656,12.692257155379714,7.717852530594674e-05,4.0,5.52246,1.3871740355612938,1.1437560126766644,0.3482984118127069,-0.1218092811235439,High,
13-2052,1.400749,Personal Financial Advisors,272190.0,272190.0,99580.0,24.1,Bachelor's degree,0.0,11.508716620196171,12.514255630831784,8.854109261912635e-05,4.0,5.602996,1.4071429090783292,1.1626761933513443,0.2207506420059828,-0.1029368214006342,High,
13-2053,1.326652,Insurance Underwriters,101310.0,101310.0,77860.0,8.2,Bachelor's degree,0.0,11.262667621164448,11.525940402047723,8.093969006021122e-05,4.0,5.306608,1.3336536063569742,0.4417177297477357,-0.1902499784837966,-0.1155622395545359,High,
13-2061,1.526064,Financial Examiners,63440.0,63440.0,84300.0,5.7,Bachelor's degree,0.0,11.342137143989946,11.05784985630873,8.984867591424968e-05,4.0,6.104256,1.531430153778204,0.6554825780721943,-0.2813349123435107,-0.1007650135343837,High,Little or no change
13-2071,1.385381,Credit Counselors,27950.0,27950.0,48570.0,2.2,Bachelor's degree,0.0,10.790761335339791,10.238172478583245,7.871198568872988e-05,4.0,5.541524,1.3919009478083482,-0.5305140105353999,-0.3666954695835756,-0.1192623066139025,High,
13-2072,1.385739,Loan Officers,321090.0,321090.0,69990.0,20.3,Bachelor's degree,0.0,11.156107653683586,12.679476736646532,6.322214955308481e-05,4.0,5.542956,1.3922560117161211,0.1804864632394298,0.3383649347374331,-0.1449898821280518,High,
13-2081,1.36682,"Tax Examiners and Collectors, and Revenue Agents",50250.0,50250.0,58530.0,4.3,Bachelor's degree,0.0,10.977294722285269,10.824765825921322,8.557213930348258e-05,4.0,5.46728,1.3734921735285384,-0.1999087482199328,-0.3130595037776177,-0.1078680530778005,High,
13-2082,1.29371,Tax Preparers,81650.0,81650.0,49010.0,10.4,High school diploma or equivalent,0.0,10.799779637903594,11.31019709839861,0.0001273729332516,1.0,1.29371,1.3009817760501212,-0.5159089587865239,-0.2375362156024124,-0.0384397470946941,High,
13-2099,1.361362,"Financial Specialists, All Other",122730.0,122730.0,78310.0,10.3,Bachelor's degree,0.0,11.268430587744984,11.717742099591554,8.392406094679379e-05,4.0,5.445448,1.3680789366329398,0.4566547144909044,-0.1387305889069528,-0.1106054003294847,High,
15-2011,1.516474,Actuaries,25470.0,25470.0,120000.0,2.4,Bachelor's degree,0.0,11.695247021764184,10.145256567973505,9.422850412249704e-05,4.0,6.065896,1.5219188049638417,1.8404833676969108,-0.3726603662292606,-0.0934904135980176,High,Little or no change
15-2021,1.472319,Mathematicians,2220.0,2220.0,116440.0,0.1,Master's degree,0.0,11.66513139785956,7.705262474866325,4.5045045045045046e-05,5.0,7.361594999999999,1.478125936674148,1.7223152217287316,-0.4285812722825575,-0.1751808295831393,High,Faster than average
15-2031,1.40002,Operations Research Analysts,117880.0,117880.0,83640.0,9.6,Bachelor's degree,0.0,11.334277153542567,11.67742243685163,8.143875127248048e-05,4.0,5.60008,1.4064198878806575,0.6335750004488803,-0.1503958101696835,-0.1147333324626595,High,Faster than average
15-2041,1.382724,Statisticians,29950.0,29950.0,104110.0,2.0,Master's degree,0.0,11.5532033114688,10.307284603543597,6.67779632721202e-05,5.0,6.91362,1.3892657388615537,1.3130418397659096,-0.3618850690628619,-0.1390839148105401,High,Faster than average
17-1011,1.047142,"Architects, Except Landscape and Naval",111170.0,111170.0,93310.0,7.8,Bachelor's degree,0.0,11.443682562228068,11.61881584022766,7.016281370873437e-05,4.0,4.188568,1.0564359726653814,0.9545542059298608,-0.166534703916678,-0.1334619060010541,High,
17-1012,1.034388,Landscape Architects,20370.0,20370.0,79320.0,1.7,Bachelor's degree,0.0,11.281245582633732,9.921818509220852,8.345606283750614e-05,4.0,4.137552,1.0437865730013172,0.4901799469144607,-0.3849268875570805,-0.111382713697537,High,Faster than average
17-1021,0.8169979,Cartographers and Photogrammetrists,12330.0,12330.0,76210.0,1.0,Bachelor's degree,0.0,11.241247966660165,9.41979059615839,8.110300081103001e-05,4.0,3.2679916,0.8281793707188274,0.3869487856894504,-0.4042646976503496,-0.1152909913865651,Upper-middle,
17-1022,0.1460606,Surveyors,50740.0,50740.0,68540.0,3.9,Bachelor's degree,0.0,11.1351727954286,10.834469833153271,7.686243594797004e-05,4.0,0.5842424,0.1627446790747847,0.1323561790669974,-0.3118809556500428,-0.1223342842775702,Upper-middle,
17-2011,1.338738,Aerospace Engineers,66660.0,66660.0,130720.0,4.5,Bachelor's degree,0.0,11.78081291009383,11.10736035186173,6.75067506750675e-05,4.0,5.354952,1.3456404845394956,2.1963155375786183,-0.2735901675051617,-0.1378734479741648,High,Faster than average
17-2021,0.9409636,Agricultural Engineers,1860.0,1860.0,88750.0,0.1,Bachelor's degree,0.0,11.393578707337662,7.528331766707247,5.3763440860215054e-05,4.0,3.7638544,0.9511283815339032,0.8031927605324181,-0.4294471443762859,-0.160700160792792,Upper-middle,Faster than average
17-2031,0.9874239,Bioengineers and Biomedical Engineers,19320.0,19320.0,100730.0,1.3,Bachelor's degree,0.0,11.520198948936727,9.86889610776651,6.728778467908903e-05,4.0,3.9496956,0.9972076431939568,1.200848487694998,-0.3874523478304553,-0.1382371357593185,Upper-middle,Faster than average
17-2041,1.341336,Chemical Engineers,21140.0,21140.0,112100.0,1.1,Bachelor's degree,0.0,11.62714660906025,9.958922259424227,5.203405865657522e-05,4.0,5.365344,1.3482171773674116,1.578256302205727,-0.3830748833566058,-0.1635725482633465,High,Faster than average
17-2051,1.282867,Civil Engineers,327950.0,327950.0,95890.0,23.6,Bachelor's degree,0.0,11.470956980147728,12.700616436721882,7.196218935813387e-05,4.0,5.131468,1.290227703558554,1.0401929184573613,0.3548646085234811,-0.130473264126934,High,Slower than average
17-2061,1.141812,Computer Hardware Engineers,82660.0,82660.0,138080.0,4.7,Bachelor's degree,0.0,11.835588506317254,11.322491088065725,5.685942414710864e-05,4.0,4.567248,1.1503295485001748,2.440618221378,-0.235106963339452,-0.1555579408811944,High,Faster than average
17-2071,1.126725,Electrical Engineers,185430.0,185430.0,106950.0,11.7,Bachelor's degree,0.0,11.580116714510552,12.130432731321427,6.309658631289435e-05,4.0,4.5069,1.1353662826438369,1.407310810145019,0.012075467417422,-0.1451984342208895,High,Faster than average
17-2072,0.6654578,"Electronics Engineers, Except Computer",96410.0,96410.0,119200.0,5.7,Bachelor's degree,0.0,11.688558033613386,11.476365209658423,5.91224976662172e-05,4.0,2.6618312,0.677882107896791,1.8139287281535,-0.2020354597595452,-0.1517991280475999,Upper-middle,
17-2081,1.343561,Environmental Engineers,39880.0,39880.0,100090.0,3.0,Bachelor's degree,0.0,11.513825060213064,10.593630224075774,7.522567703109328e-05,4.0,5.374244,1.3504239293081786,1.1796047760602693,-0.3380014304775183,-0.1250528307014088,High,Faster than average
17-2111,0.9948935,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",22510.0,22510.0,103690.0,1.5,Bachelor's degree,0.0,11.549160957552324,10.021714933900778,6.663705019991116e-05,4.0,3.979574,1.0046159822037335,1.2991006540056187,-0.3797797589999169,-0.1393179619414744,Upper-middle,
17-2112,1.13787,Industrial Engineers,332870.0,332870.0,99380.0,25.2,Bachelor's degree,0.0,11.506706165156311,12.715507302350025,7.570523027007541e-05,4.0,4.55148,1.146419878320173,1.156037533465492,0.3666981938044368,-0.1242563250404757,High,Slower than average
17-2121,0.5472173,Marine Engineers and Naval Architects,9960.0,9960.0,100270.0,0.6,Bachelor's degree,0.0,11.515621826517972,9.206332350578643,6.024096385542168e-05,4.0,2.1888692,0.5606113425699306,1.1855795699575369,-0.4099650222673954,-0.1499414309686384,Upper-middle,Faster than average
17-2131,1.037278,Materials Engineers,24630.0,24630.0,104100.0,1.5,Bachelor's degree,0.0,11.55310725460306,10.111720491114584,6.090133982947625e-05,4.0,4.149112,1.0466528710277516,1.3127099067716168,-0.3746807344479603,-0.1488445909122661,High,Slower than average
17-2141,1.004709,Mechanical Engineers,281290.0,281290.0,99510.0,18.1,Bachelor's degree,0.0,11.508013420609208,12.547141444610368,6.434640406697714e-05,4.0,4.018836,1.0143509816080476,1.160352662391296,0.2426379643752302,-0.1431225710312786,Upper-middle,Faster than average
17-2151,1.34695,"Mining and Geological Engineers, Including Mining Safety Engineers",7040.0,7040.0,100640.0,0.4,Bachelor's degree,0.0,11.519305071934268,8.859363449152088,5.681818181818182e-05,4.0,5.3878,1.35378513484852,1.1978610907463645,-0.4169882070276374,-0.1556264416143559,High,
17-2161,1.303009,Nuclear Engineers,12710.0,12710.0,125460.0,0.8,Bachelor's degree,0.0,11.739742261650736,9.4501443641835,6.294256490952006e-05,4.0,5.212036,1.31020451146459,2.021718782580691,-0.4033507215514141,-0.1454542534078328,High,Slower than average
17-2171,1.247779,Petroleum Engineers,20390.0,20390.0,135690.0,1.2,Bachelor's degree,0.0,11.818128151139998,9.922799863568502,5.88523786169691e-05,4.0,4.991116,1.255427473402314,2.361286235742059,-0.3848787835518734,-0.1522477776121585,High,Slower than average
17-2199,0.787566,"Engineers, All Other",150990.0,150990.0,111970.0,9.3,Bachelor's degree,0.0,11.625986257254242,11.924968888438515,6.159348301212001e-05,4.0,3.150264,0.798988852765811,1.573941173279923,-0.070759629549268,-0.1476949876600345,Upper-middle,
17-3011,0.9233925,Architectural and Civil Drafters,111070.0,111070.0,61820.0,10.0,Associate's degree,0.0,11.031982215686106,11.617915912161166,9.003331232556046e-05,3.0,2.7701775,0.933701388713044,-0.090702793097655,-0.1667752239427137,-0.1004583448793339,Upper-middle,
17-3012,0.910166,Electrical and Electronics Drafters,20680.0,20680.0,69260.0,1.7,Associate's degree,0.0,11.145622817956411,9.936922328622366,8.220502901353965e-05,3.0,2.730498,0.9205833641986372,0.1562553546560673,-0.3841812754763699,-0.1134605966973957,Upper-middle,Slower than average
17-3013,0.8410071,Mechanical Drafters,44850.0,44850.0,64060.0,3.3,Associate's degree,0.0,11.067575423163149,10.71107886748694,7.357859531772575e-05,3.0,2.5230213,0.85199166226771,-0.0163498023761042,-0.3260475851835447,-0.1277885225956002,Upper-middle,Little or no change
17-3021,0.3909402,Aerospace Engineering and Operations Technologists and Technicians,10640.0,10640.0,77830.0,0.9,Associate's degree,0.0,11.262282239953434,9.272375762895637,8.458646616541354e-05,3.0,1.1728206,0.405615929660967,0.4407219307648577,-0.4083294860903528,-0.109505189834437,Upper-middle,Faster than average
17-3022,0.9323219,Civil Engineering Technologists and Technicians,63560.0,63560.0,60700.0,5.5,Associate's degree,0.0,11.01369897704759,11.059739620650651,8.653241032095658e-05,3.0,2.7969657000000003,0.9425575553556892,-0.1278792884584305,-0.2810462883122679,-0.1062731075341702,Upper-middle,Slower than average
17-3023,0.3515252,Electrical and Electronic Engineering Technologists and Technicians,97420.0,97420.0,72800.0,8.4,Associate's degree,0.0,11.195471234184778,11.486786807360534,8.622459453910902e-05,3.0,1.0545756,0.3665241868540758,0.273759634635661,-0.1996062074965848,-0.1067843688349729,Upper-middle,Slower than average
17-3024,-0.3040507,Electro-Mechanical and Mechatronics Technologists and Technicians,15360.0,15360.0,65080.0,1.3,Associate's degree,0.0,11.083372561332974,9.639522006701664,8.463541666666667e-05,3.0,-0.9121521,-0.2836750893909111,0.0175073630417447,-0.3969769408614684,-0.1094238863457224,Lower-middle,Slower than average
17-3025,0.0438054,Environmental Engineering Technologists and Technicians,13780.0,13780.0,54000.0,1.1,Associate's degree,0.0,10.896739325546411,9.53097354456765,7.982583454281569e-05,3.0,0.1314162,0.0613281123091571,-0.3502743946344977,-0.4007771572728322,-0.1174122786178738,Upper-middle,Slower than average
17-3026,0.6106679,Industrial Engineering Technologists and Technicians,73020.0,73020.0,62610.0,6.3,Associate's degree,0.0,11.044680288739356,11.198488655209628,8.627773212818406e-05,3.0,1.8320037,0.623541560409406,-0.0644800865485367,-0.2582930938492921,-0.1066961108751342,Upper-middle,Slower than average
17-3027,-0.1192367,Mechanical Engineering Technologists and Technicians,38930.0,38930.0,64020.0,3.2,Associate's degree,0.0,11.066950813523857,10.5695204406045,8.219881839198562e-05,3.0,-0.3577101,-0.1003768182983633,-0.0176775343532748,-0.3402863707248573,-0.1134709121218857,Upper-middle,Slower than average
17-3029,0.1941278,"Engineering Technologists and Technicians, Except Drafters, All Other",66200.0,66200.0,73500.0,5.7,Associate's degree,0.0,11.205040685200927,11.1004357419251,8.610271903323264e-05,3.0,0.5823834,0.2104176619454531,0.2969949442361457,-0.2746965596249259,-0.1069867958492616,Upper-middle,
17-3031,0.0852324,Surveying and Mapping Technicians,56050.0,56050.0,48940.0,7.6,High school diploma or equivalent,0.0,10.798350336996664,10.933999428500304,0.0001355932203389,1.0,0.0852324,0.1024153539496767,-0.5182324897465723,-0.299109342267548,-0.0247864033837301,Upper-middle,
19-1011,1.041358,Animal Scientists,2460.0,2460.0,70140.0,0.2,Bachelor's degree,0.0,11.15824852369417,7.807916628926408,8.130081300813008e-05,4.0,4.165432,1.0506994094180122,0.1854654581538194,-0.4280040242200718,-0.1149624386379146,High,Faster than average
19-1012,0.7943575,Food Scientists and Technologists,14100.0,14100.0,82090.0,1.2,Bachelor's degree,0.0,11.315571485342312,9.55393007636626,8.51063829787234e-05,4.0,3.17743,0.8057246531279321,0.5821253863335214,-0.400007493189518,-0.1086416429926002,Upper-middle,Slower than average
19-1013,0.6320696,Soil and Plant Scientists,15800.0,15800.0,68240.0,1.7,Bachelor's degree,0.0,11.13078618216556,9.667765219015058,0.0001075949367088,4.0,2.5282784,0.6447677370434347,0.1223981892382182,-0.3959186527469114,-0.0712896684959367,Upper-middle,Faster than average
19-1021,0.9060509,Biochemists and Biophysicists,33180.0,33180.0,107460.0,2.9,Doctoral or professional degree,0.0,11.584873964282812,10.409702563744435,8.740204942736587e-05,6.0,5.4363054,0.9165020136766372,1.4242393928539432,-0.3541162722219092,-0.10482869549622,Upper-middle,
19-1022,0.6955647,Microbiologists,21540.0,21540.0,85470.0,1.7,Bachelor's degree,0.0,11.355920716160064,9.97766695071038,7.892293407613742e-05,4.0,2.7822588,0.7077420899217255,0.6943187384044329,-0.382112803252463,-0.1189119355370823,Upper-middle,
