occupation_name_bls,bls_outlook,bls_url
Building Custodian,Slower than average,https://www.bls.gov/ooh/building-and-grounds-cleaning/janitors-and-building-cleaners.htm
Building Maintenance Mechanic,,https://www.bls.gov/ooh/installation-maintenance-and-repair/general-maintenance-and-repair-workers.htm
Bulk Mail Clerk,,https://www.bls.gov/ooh/office-and-administrative-support/postal-service-workers.htm
Bus drivers,Slower than average,https://www.bls.gov/ooh/transportation-and-material-moving/bus-drivers.htm
Business Analyst,Faster than average,https://www.bls.gov/ooh/business-and-financial/management-analysts.htm
Business Intelligence Developer,Faster than average,https://www.bls.gov/ooh/math/data-scientists.htm
Butcher Apprentice,Slower than average,https://www.bls.gov/ooh/production/butchers-and-meat-cutters.htm
Nursing assistants and orderlies,Slower than average,https://www.bls.gov/ooh/healthcare/nursing-assistants.htm
Cable Television Installer,,https://www.bls.gov/ooh/installation-maintenance-and-repair/telecommunications-equipment-installers-and-repairers-except-line-installers.htm
Cadastral Mapper,Faster than average,https://www.bls.gov/ooh/architecture-and-engineering/cartographers-and-photogrammetrists.htm
Calibration Technician,Faster than average,https://www.bls.gov/ooh/installation-maintenance-and-repair/calibration-technologists-and-technicians.htm
Campaign Fundraiser,,https://www.bls.gov/ooh/business-and-financial/fundraisers.htm
Camp Counselor,,https://www.bls.gov/ooh/personal-care-and-service/recreation-workers.htm
Cancer Registrar,Faster than average,https://www.bls.gov/ooh/healthcare/health-information-technologists-and-medical-registrars.htm
Cancer Researcher,Faster than average,https://www.bls.gov/ooh/life-physical-and-social-science/medical-scientists.htm
Cardiac/Vascular Sonographer,Faster than average,https://www.bls.gov/ooh/healthcare/diagnostic-medical-sonographers.htm
Cardiac Catheterization Laboratory Technologist,,https://www.bls.gov/ooh/healthcare/cardiovascular-technologists-and-technicians.htm
Cardiopulmonary Physical Therapist,Faster than average,https://www.bls.gov/ooh/healthcare/physical-therapists.htm
Carpet Layer,Faster than average,https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm
Cartographic Aide,Faster than average,https://www.bls.gov/ooh/architecture-and-engineering/surveying-and-mapping-technicians.htm
Cashiers,,https://www.bls.gov/ooh/sales/cashiers.htm
